track_id,parent_id,start_frame,end_frame,morphology_class,area,length,width,centroid_x,centroid_y
1651,1020,15,24,,1122.0,77.07,18.93,863.16,943.71
1653,614,15,29,Divided,739.5,62.83,16.62,1037.53,906.67
1654,0,15,36,Divided,603.63,55.19,14.86,478.82,866.27
1656,0,15,15,Divided,609.0,57.51,16.88,799.56,980.98
1657,0,15,19,Divided,405.0,36.97,14.91,1124.6,941.95
1658,1600,15,33,,709.57,55.21,17.7,904.76,959.72
1661,0,15,36,,650.05,49.95,17.01,767.31,961.73
1662,0,15,25,,828.0,55.95,19.85,814.68,1016.42
1663,0,16,16,,208.0,23.83,12.22,1330.65,18.16
1664,11,16,23,,1315.0,91.68,19.75,638.11,62.71
1665,0,16,16,,624.0,67.96,11.99,1122.29,73.95
1666,11,16,32,,728.59,43.31,22.79,600.55,72.19
1667,0,16,16,Elongated,5531.0,308.29,55.52,345.74,123.35
1668,0,16,33,,1298.07,106.53,19.51,864.14,93.87
1669,0,16,17,,330.5,154.48,3.15,1390.2,196.12
1670,0,16,36,,4249.4,176.34,32.43,318.65,98.02
1671,0,16,31,Divided,574.06,38.13,19.34,92.59,144.02
1673,0,16,18,,1387.0,76.05,28.76,65.31,187.89
1674,0,16,16,,216.0,28.94,9.61,1038.27,212.35
1675,0,16,17,,8650.0,503.0,111.34,264.76,302.68
1676,0,16,16,Divided,301.0,29.33,13.54,732.21,283.74
1677,0,16,19,Elongated,2936.0,189.63,25.75,886.06,318.73
1678,0,16,17,,3740.5,262.33,22.51,437.93,341.88
1679,0,16,35,,761.17,49.92,22.55,1346.65,446.17
1681,0,16,17,Divided,537.0,40.4,17.69,1050.79,394.36
1682,0,16,28,,697.89,58.38,15.92,1022.05,533.73
1683,0,16,29,Elongated,2263.5,174.07,18.21,850.98,413.85
1684,0,16,29,,3564.22,170.9,42.38,190.83,487.09
1685,1480,16,20,,822.0,63.55,18.12,1209.21,422.44
1686,0,16,36,Divided,614.22,46.68,17.54,677.4,395.19
1687,0,16,17,Divided,473.0,40.34,17.54,681.5,484.66
1688,0,16,16,Elongated,9751.0,644.68,47.29,409.12,610.59
1690,264,16,30,Divided,533.77,34.29,22.09,726.2,545.72
1691,0,16,35,Elongated,2506.45,180.07,21.14,116.42,612.61
1692,0,16,17,,715.0,73.71,16.12,1062.09,584.75
1693,0,16,35,Divided,1712.15,129.44,22.31,795.71,771.98
1696,0,16,34,Elongated,5668.75,422.89,22.01,421.63,671.9
1698,0,16,36,Divided,494.2,41.25,16.04,1332.14,673.52
1699,0,16,17,Elongated,2082.0,154.07,18.09,1147.96,740.82
1700,425,16,19,,1174.0,69.2,25.69,631.34,775.53
1701,1205,16,36,Divided,626.0,56.53,15.38,154.91,760.1
1702,1573,16,36,Divided,563.74,45.62,16.78,814.99,815.96
1703,0,16,27,Divided,480.4,36.86,18.17,1333.95,725.92
1704,1573,16,29,,2492.22,140.05,42.02,773.46,751.94
1705,0,16,36,,677.43,47.53,18.86,115.85,791.47
1706,0,16,16,Divided,453.0,44.41,13.09,958.35,785.08
1707,1205,16,36,,222.45,21.41,13.4,177.78,770.55
1708,439,16,23,Divided,780.75,52.95,20.55,542.94,809.5
1709,737,16,18,,921.0,80.34,14.76,1181.73,828.5
1710,737,16,21,,600.8,58.47,13.67,1158.44,843.05
1711,0,16,21,,1363.0,101.67,21.65,999.97,885.61
1713,0,16,36,Divided,441.53,36.25,16.25,598.79,826.95
1714,0,16,19,,328.67,32.55,13.52,1014.76,866.27
1715,0,16,16,,650.0,56.43,15.37,625.25,880.78
